k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.268976448800761e-1,3.268976448800761e-1
1.000000000000000e-1,0.000000000000000e0,-3.297673845053191e-1,3.297673845053191e-1
1.500000000000000e-1,0.000000000000000e0,-3.326371241305622e-1,3.326371241305622e-1
2.000000000000000e-1,0.000000000000000e0,-3.365758531351953e-1,3.365758531351953e-1
2.500000000000000e-1,0.000000000000000e0,-3.415002267804358e-1,3.415002267804358e-1
3.000000000000000e-1,0.000000000000000e0,-3.472967572297996e-1,3.472967572297996e-1
3.500000000000000e-1,0.000000000000000e0,-3.538170121631239e-1,3.538170121631239e-1
4.000000000000000e-1,0.000000000000000e0,-3.608714103737301e-1,3.608714103737301e-1
4.500000000000000e-1,0.000000000000000e0,-3.682203485404715e-1,3.682203485404715e-1
5.000000000000000e-1,0.000000000000000e0,-3.755559045179838e-1,3.755559045179838e-1
5.500000000000000e-1,0.000000000000000e0,-3.823918834449200e-1,3.823918834449200e-1
6.000000000000001e-1,-3.777836934979649e-1,-3.765380316269572e-1,-1.245661871007664e-3
6.500000000000000e-1,-3.673890890960972e-1,-3.665482948089570e-1,-8.407942871402341e-4
7.000000000000001e-1,-3.561863631527134e-1,-3.550976042516860e-1,-1.088758901027387e-3
7.500000000000000e-1,-3.434853298507125e-1,-3.420263598189173e-1,-1.458970031795126e-3
8.000000000000000e-1,-3.280333920315563e-1,-3.271845322484740e-1,-8.488597830823008e-4
8.500000000000001e-1,-3.112087816733519e-1,-3.104299815207995e-1,-7.788001525523836e-4
9.000000000000000e-1,-2.930066528755024e-1,-2.916511900433462e-1,-1.355462832156151e-3
9.500000000000001e-1,-2.714635245138833e-1,-2.707575981465084e-1,-7.059263673748761e-4
1.000000000000000e0,-2.483893574106130e-1,-2.476546850239839e-1,-7.346723866291094e-4
1.050000000000000e0,-2.232454900356748e-1,-2.223597504113360e-1,-8.857396243387994e-4
1.100000000000000e0,-1.954054563351977e-1,-1.949945922223872e-1,-4.108641128104940e-4
1.150000000000000e0,-1.665637434307494e-1,-1.656435969740152e-1,-9.201464567342443e-4
