k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.294014545590028e-1,3.294014545590028e-1
1.000000000000000e-1,0.000000000000000e0,-3.325857487366470e-1,3.325857487366470e-1
1.500000000000000e-1,0.000000000000000e0,-3.357700429142912e-1,3.357700429142912e-1
2.000000000000000e-1,0.000000000000000e0,-3.401532904633558e-1,3.401532904633558e-1
2.500000000000000e-1,0.000000000000000e0,-3.456560420239568e-1,3.456560420239568e-1
3.000000000000000e-1,0.000000000000000e0,-3.521695009003528e-1,3.521695009003528e-1
3.500000000000000e-1,0.000000000000000e0,-3.595505950839698e-1,3.595505950839698e-1
4.000000000000000e-1,0.000000000000000e0,-3.676159293232869e-1,3.676159293232869e-1
4.500000000000000e-1,0.000000000000000e0,-3.761342857813328e-1,3.761342857813328e-1
5.000000000000000e-1,0.000000000000000e0,-3.848161215226475e-1,3.848161215226475e-1
5.500000000000000e-1,0.000000000000000e0,-3.932912407666668e-1,3.932912407666668e-1
6.000000000000001e-1,0.000000000000000e0,-4.009380735867983e-1,4.009380735867983e-1
6.500000000000000e-1,-3.933498341032698e-1,-3.926716466366216e-1,-6.781874666482723e-4
7.000000000000001e-1,-3.819963300924438e-1,-3.813331402971081e-1,-6.631897953356947e-4
7.500000000000000e-1,-3.691062649384346e-1,-3.683470245398694e-1,-7.592403985651752e-4
8.000000000000000e-1,-3.545935865747326e-1,-3.535384017595220e-1,-1.055184815210608e-3
8.500000000000001e-1,-3.381666022114203e-1,-3.367438066643357e-1,-1.422795547084577e-3
9.000000000000000e-1,-3.186261606408655e-1,-3.178195023572455e-1,-8.066582836200320e-4
9.500000000000001e-1,-2.974758271241742e-1,-2.966649207098992e-1,-8.109064142749478e-4
1.000000000000000e0,-2.744087724726396e-1,-2.731786232202901e-1,-1.230149252349544e-3
1.050000000000000e0,-2.478787383934507e-1,-2.473011706388375e-1,-5.775677546131786e-4
1.100000000000000e0,-2.199206384821244e-1,-2.191364633970085e-1,-7.841750851158846e-4
1.150000000000000e0,-1.893718193305878e-1,-1.888065267837186e-1,-5.652925468691838e-4
1.200000000000000e0,-1.567621906192820e-1,-1.564444046653403e-1,-3.177859539416350e-4
1.250000000000000e0,-1.230615020481544e-1,-1.224036763166079e-1,-6.578257315464492e-4
1.300000000000000e0,-8.722766607579240e-2,-8.715983524047755e-2,-6.783083531484990e-5
1.350000000000000e0,-5.167820006631792e-2,-5.124494511630743e-2,-4.332549500104879e-4
1.400000000000000e0,-1.516286904735145e-2,-1.526751063079347e-2,1.046415834420281e-4
